number_of_trees,leafs,number_of_splits,number_of_predictors,accuracy,ce,time
10,2,200,6,0.966015907447579,-0.024169160529324,0.140625
40,2,100,6,0.973969631236443,-0.0252255966809988,0.25
10,2,100,6,0.966015907447579,-0.0254743790807358,0.09375
20,2,100,6,0.971077368040492,-0.0258382084750791,0.1875
40,2,200,6,0.973969631236443,-0.0258692209764883,0.296875
20,2,200,6,0.969631236442517,-0.0259303553818847,0.125
50,2,100,6,0.97180043383948,-0.0261236930471196,0.28125
50,2,200,6,0.972523499638468,-0.0265224042391836,0.328125
40,2,200,4,0.973969631236443,-0.0350519268695112,0.234375
50,2,50,6,0.969631236442517,-0.0353134399928409,0.3125
10,2,200,4,0.963846710050616,-0.0357941754970539,0.125
20,3,200,6,0.963123644251628,-0.0358094585390997,0.21875
40,2,100,4,0.976861894432394,-0.0358280302236717,0.21875
40,2,50,6,0.971077368040492,-0.0362622299648946,0.234375
20,2,200,4,0.973246565437455,-0.036340062263089,0.1875
20,2,100,4,0.966738973246566,-0.0363989927749918,0.109375
20,2,50,6,0.967462039045554,-0.0364791569465906,0.25
50,2,100,4,0.976861894432394,-0.0365796387179188,0.265625
40,3,100,6,0.972523499638468,-0.0366732089907226,0.203125
10,2,50,6,0.959508315256689,-0.0366839467018983,0.046875
40,3,200,6,0.967462039045554,-0.0370123001918489,0.234375
50,3,100,6,0.966738973246566,-0.0371637353640753,0.46875
50,2,200,4,0.972523499638468,-0.0375950164489096,0.265625
50,3,200,6,0.970354302241505,-0.0377481770715321,0.375
10,3,200,6,0.966738973246566,-0.0380843743728393,0.09375
20,3,100,6,0.968908170643529,-0.0390728037693488,0.125
50,3,50,6,0.968908170643529,-0.0392641822685107,0.28125
10,3,50,6,0.963123644251628,-0.0398526270225303,0.140625
40,3,50,6,0.964569775849603,-0.0400020467882258,0.3125
10,3,100,6,0.959508315256689,-0.040743509071036,0.046875
10,2,100,4,0.958785249457702,-0.0409530770701333,0.125
20,3,50,6,0.963846710050616,-0.0421494047384264,0.1875
10,4,50,6,0.965292841648591,-0.0462353846200211,0.046875
50,4,200,6,0.965292841648591,-0.0469144614555929,0.234375
50,4,100,6,0.969631236442517,-0.0477489238952071,0.171875
50,4,50,6,0.966738973246566,-0.0478700709845573,0.28125
