number_of_trees,leafs,number_of_splits,number_of_predictors,accuracy,ce,time
50,2,200,6,0.972523499638468,-0.0643792291494826,0.421875
50,2,100,6,0.972523499638468,-0.0706092725607903,0.265625
50,2,50,6,0.973969631236443,-0.0707142755762442,0.21875
50,3,100,6,0.971077368040492,-0.0714500416474008,0.453125
40,2,100,6,0.974692697035431,-0.0721635280626598,0.21875
50,3,200,6,0.966738973246566,-0.0731327750335516,0.390625
20,3,200,6,0.961677512653652,-0.0748695203445828,0.109375
50,2,100,4,0.976138828633406,-0.0755837300948631,0.265625
40,3,200,6,0.966738973246566,-0.0756029935920784,0.21875
50,2,200,4,0.973969631236443,-0.0758175079419728,0.40625
40,2,200,4,0.97180043383948,-0.0759680994404138,0.203125
40,2,100,4,0.976138828633406,-0.0760218587058253,0.15625
40,3,50,6,0.969631236442517,-0.0773385024797818,0.265625
40,2,200,6,0.968185104844542,-0.0773962554268847,0.28125
50,3,50,6,0.966738973246566,-0.0781078682207861,0.40625
40,2,50,6,0.971077368040492,-0.0784427462243828,0.25
20,2,200,6,0.971077368040492,-0.0790478031306563,0.109375
50,4,100,6,0.963846710050616,-0.080432253345785,0.3125
40,3,100,6,0.964569775849603,-0.080628982735605,0.1875
40,4,200,6,0.968185104844542,-0.0809265137667192,0.328125
50,4,50,6,0.966738973246566,-0.0809695947117658,0.34375
20,4,50,6,0.966015907447579,-0.081268996745865,0.25
40,4,100,6,0.965292841648591,-0.0826163621517644,0.328125
40,4,50,6,0.965292841648591,-0.0828432048442845,0.28125
40,3,200,4,0.972523499638468,-0.0839185531646486,0.28125
40,2,50,4,0.970354302241505,-0.0839910833545474,0.15625
20,4,100,6,0.961677512653652,-0.0842276926032286,0.078125
50,3,100,4,0.973246565437455,-0.0851845166954171,0.234375
40,5,100,6,0.963846710050616,-0.0852697035545312,0.171875
50,2,50,4,0.971077368040492,-0.085923469317292,0.171875
50,5,50,6,0.965292841648591,-0.0860633146366758,0.296875
50,3,200,4,0.969631236442517,-0.0864558770469784,0.265625
50,4,200,6,0.963123644251628,-0.0865468581660284,0.34375
50,5,100,6,0.964569775849603,-0.0867309803966163,0.375
