buying,maint,doors,persons,lug_boot,safety,acceptability
4,4,1,1,3,1,unacc
4,4,1,2,2,1,unacc
4,4,1,3,1,3,unacc
4,4,2,1,2,3,unacc
4,4,2,2,1,1,unacc
4,4,2,3,3,3,unacc
4,4,3,1,1,2,unacc
4,4,3,1,2,2,unacc
4,4,3,1,2,3,unacc
4,4,3,1,3,1,unacc
4,4,3,2,2,1,unacc
4,4,3,2,2,2,unacc
4,4,3,2,3,3,unacc
4,4,3,3,2,3,unacc
4,4,3,3,3,3,unacc
4,4,4,1,1,1,unacc
4,4,4,1,1,3,unacc
4,4,4,2,2,3,unacc
4,4,4,2,3,3,unacc
4,4,4,3,1,1,unacc
4,4,4,3,1,2,unacc
4,4,4,3,3,1,unacc
4,3,1,1,1,2,unacc
4,3,1,1,2,3,unacc
4,3,1,1,3,3,unacc
4,3,1,2,1,3,unacc
4,3,2,1,1,1,unacc
4,3,2,1,1,2,unacc
4,3,2,1,2,3,unacc
4,3,2,2,1,2,unacc
4,3,2,2,2,3,unacc
4,3,2,2,3,3,unacc
4,3,2,3,1,2,unacc
4,3,2,3,2,3,unacc
4,3,3,1,3,3,unacc
4,3,3,3,3,1,unacc
4,3,3,3,3,2,unacc
4,3,4,1,3,3,unacc
4,3,4,2,2,2,unacc
4,3,4,3,2,3,unacc
4,2,1,2,2,2,unacc
4,2,1,3,1,2,unacc
4,2,1,3,2,1,unacc
4,2,1,3,3,1,unacc
4,2,1,3,3,3,acc
4,2,2,1,2,1,unacc
4,2,2,1,3,1,unacc
4,2,2,2,1,1,unacc
4,2,2,2,1,2,unacc
4,2,2,2,2,3,acc
4,2,2,2,3,1,unacc
4,2,2,2,3,2,acc
4,2,2,3,2,2,acc
4,2,3,1,2,1,unacc
4,2,3,2,1,2,unacc
4,2,4,1,1,3,unacc
4,2,4,2,3,1,unacc
4,2,4,2,3,3,acc
4,2,4,3,1,2,unacc
4,2,4,3,1,3,acc
4,2,4,3,2,1,unacc
4,2,4,3,2,3,acc
4,2,4,3,3,1,unacc
4,2,4,3,3,2,acc
4,2,4,3,3,3,acc
4,1,1,1,1,1,unacc
4,1,1,1,2,1,unacc
4,1,1,1,2,2,unacc
4,1,1,1,3,3,unacc
4,1,1,2,1,3,acc
4,1,1,3,1,1,unacc
4,1,2,1,1,2,unacc
4,1,2,1,1,3,unacc
4,1,2,2,1,3,acc
4,1,2,2,2,2,unacc
4,1,2,2,3,3,acc
4,1,3,1,2,2,unacc
4,1,3,2,1,2,unacc
4,1,3,2,2,1,unacc
4,1,3,2,3,3,acc
4,1,3,3,2,3,acc
4,1,4,1,2,3,unacc
4,1,4,1,3,3,unacc
4,1,4,2,3,3,acc
4,1,4,3,3,1,unacc
3,4,1,1,1,2,unacc
3,4,1,1,1,3,unacc
3,4,1,1,3,1,unacc
3,4,1,3,1,2,unacc
3,4,1,3,1,3,unacc
3,4,1,3,2,3,unacc
3,4,2,1,1,2,unacc
